gene_name	quintile	n	total	percent
PROZ	Q3: 0.4-0.6	5	36	13.88888888888889
PROZ	Q4: 0.6-0.8	14	36	38.88888888888889
PROZ	Q5: 0.8-1.0	17	36	47.22222222222222
PSPH	Q5: 0.8-1.0	36	36	100
PTEN	Q5: 0.8-1.0	36	36	100
PTK6	Q4: 0.6-0.8	4	36	11.11111111111111
PTK6	Q5: 0.8-1.0	32	36	88.88888888888889
PTPRC	Q5: 0.8-1.0	36	36	100
PXDN	Q4: 0.6-0.8	3	36	8.333333333333332
PXDN	Q5: 0.8-1.0	33	36	91.66666666666666
RFX2	Q4: 0.6-0.8	3	35	8.571428571428571
RFX2	Q5: 0.8-1.0	32	35	91.42857142857143
RGPD3	Q4: 0.6-0.8	4	36	11.11111111111111
RGPD3	Q5: 0.8-1.0	32	36	88.88888888888889
RHCE	Q5: 0.8-1.0	36	36	100
RHOA	Q4: 0.6-0.8	1	36	2.7777777777777777
RHOA	Q5: 0.8-1.0	35	36	97.22222222222221
RNF212	Q4: 0.6-0.8	3	36	8.333333333333332
RNF212	Q5: 0.8-1.0	33	36	91.66666666666666
RNF213	Q4: 0.6-0.8	5	36	13.88888888888889
RNF213	Q5: 0.8-1.0	31	36	86.11111111111111
RPIA	Q4: 0.6-0.8	3	36	8.333333333333332
RPIA	Q5: 0.8-1.0	33	36	91.66666666666666
RPL22	Q4: 0.6-0.8	1	36	2.7777777777777777
RPL22	Q5: 0.8-1.0	35	36	97.22222222222221
RPN1	Q3: 0.4-0.6	1	36	2.7777777777777777
RPN1	Q4: 0.6-0.8	17	36	47.22222222222222
RPN1	Q5: 0.8-1.0	18	36	50
SAR1B	Q3: 0.4-0.6	1	36	2.7777777777777777
SAR1B	Q4: 0.6-0.8	3	36	8.333333333333332
SAR1B	Q5: 0.8-1.0	32	36	88.88888888888889
SBK3	Q4: 0.6-0.8	7	36	19.444444444444446
SBK3	Q5: 0.8-1.0	29	36	80.55555555555556
SEC63	Q4: 0.6-0.8	1	36	2.7777777777777777
SEC63	Q5: 0.8-1.0	35	36	97.22222222222221
SEMG1	Q4: 0.6-0.8	3	36	8.333333333333332
SEMG1	Q5: 0.8-1.0	33	36	91.66666666666666
SERPINF2	Q3: 0.4-0.6	3	36	8.333333333333332
SERPINF2	Q4: 0.6-0.8	6	36	16.666666666666664
SERPINF2	Q5: 0.8-1.0	27	36	75
SH2B1	Q4: 0.6-0.8	3	36	8.333333333333332
SH2B1	Q5: 0.8-1.0	33	36	91.66666666666666
SIGLEC16	Q4: 0.6-0.8	1	36	2.7777777777777777
SIGLEC16	Q5: 0.8-1.0	35	36	97.22222222222221
SLC17A5	Q5: 0.8-1.0	36	36	100
SLC22A1	Q4: 0.6-0.8	5	36	13.88888888888889
SLC22A1	Q5: 0.8-1.0	31	36	86.11111111111111
SLC22A12	Q4: 0.6-0.8	8	36	22.22222222222222
SLC22A12	Q5: 0.8-1.0	28	36	77.77777777777779
SLC27A4	Q5: 0.8-1.0	36	36	100
SLC27A5	Q3: 0.4-0.6	1	35	2.857142857142857
SLC27A5	Q4: 0.6-0.8	1	35	2.857142857142857
SLC27A5	Q5: 0.8-1.0	33	35	94.28571428571428
SLC29A4	Q5: 0.8-1.0	36	36	100
SLC6A18	Q3: 0.4-0.6	3	36	8.333333333333332
SLC6A18	Q4: 0.6-0.8	12	36	33.33333333333333
SLC6A18	Q5: 0.8-1.0	21	36	58.333333333333336
SLC6A3	Q3: 0.4-0.6	1	36	2.7777777777777777
SLC6A3	Q4: 0.6-0.8	17	36	47.22222222222222
SLC6A3	Q5: 0.8-1.0	18	36	50
SMG1	Q4: 0.6-0.8	1	35	2.857142857142857
SMG1	Q5: 0.8-1.0	34	35	97.14285714285714
SMOC2	Q4: 0.6-0.8	1	36	2.7777777777777777
SMOC2	Q5: 0.8-1.0	35	36	97.22222222222221
SNTG2	Q5: 0.8-1.0	35	35	100
SOHLH1	Q5: 0.8-1.0	36	36	100
SPI1	Q3: 0.4-0.6	9	36	25
SPI1	Q4: 0.6-0.8	8	36	22.22222222222222
SPI1	Q5: 0.8-1.0	19	36	52.77777777777778
SPRN	Q4: 0.6-0.8	4	36	11.11111111111111
SPRN	Q5: 0.8-1.0	32	36	88.88888888888889
SRR	Q5: 0.8-1.0	36	36	100
SSTR5	Q5: 0.8-1.0	36	36	100
STK11	Q4: 0.6-0.8	1	36	2.7777777777777777
STK11	Q5: 0.8-1.0	35	36	97.22222222222221
STXBP2	Q4: 0.6-0.8	1	36	2.7777777777777777
STXBP2	Q5: 0.8-1.0	35	36	97.22222222222221
SUZ12	Q5: 0.8-1.0	36	36	100
TAP1	Q5: 0.8-1.0	36	36	100
TAP2	Q5: 0.8-1.0	36	36	100
TBXA2R	Q4: 0.6-0.8	6	35	17.142857142857142
TBXA2R	Q5: 0.8-1.0	29	35	82.85714285714286
TCF3	Q3: 0.4-0.6	5	36	13.88888888888889
TCF3	Q4: 0.6-0.8	19	36	52.77777777777778
TCF3	Q5: 0.8-1.0	12	36	33.33333333333333
TERT	Q3: 0.4-0.6	2	36	5.555555555555555
TERT	Q4: 0.6-0.8	17	36	47.22222222222222
TERT	Q5: 0.8-1.0	17	36	47.22222222222222
THBS2	Q4: 0.6-0.8	8	36	22.22222222222222
THBS2	Q5: 0.8-1.0	28	36	77.77777777777779
TJP2	Q4: 0.6-0.8	2	35	5.714285714285714
TJP2	Q5: 0.8-1.0	33	35	94.28571428571428
TM4SF19	Q3: 0.4-0.6	10	35	28.57142857142857
TM4SF19	Q4: 0.6-0.8	16	35	45.714285714285715
TM4SF19	Q5: 0.8-1.0	9	35	25.71428571428571
TMC6	Q3: 0.4-0.6	6	36	16.666666666666664
TMC6	Q4: 0.6-0.8	17	36	47.22222222222222
TMC6	Q5: 0.8-1.0	13	36	36.11111111111111
TNNI3	Q3: 0.4-0.6	3	36	8.333333333333332
TNNI3	Q4: 0.6-0.8	10	36	27.77777777777778
TNNI3	Q5: 0.8-1.0	23	36	63.888888888888886
TNNT1	Q4: 0.6-0.8	2	36	5.555555555555555
TNNT1	Q5: 0.8-1.0	34	36	94.44444444444444
TPCN2	Q5: 0.8-1.0	36	36	100
TPO	Q4: 0.6-0.8	7	36	19.444444444444446
TPO	Q5: 0.8-1.0	29	36	80.55555555555556
TRAPPC10	Q4: 0.6-0.8	13	36	36.11111111111111
TRAPPC10	Q5: 0.8-1.0	23	36	63.888888888888886
TRBV9	Q4: 0.6-0.8	1	36	2.7777777777777777
TRBV9	Q5: 0.8-1.0	35	36	97.22222222222221
TRMT1	Q4: 0.6-0.8	3	36	8.333333333333332
TRMT1	Q5: 0.8-1.0	33	36	91.66666666666666
TRPM4	Q4: 0.6-0.8	4	36	11.11111111111111
TRPM4	Q5: 0.8-1.0	32	36	88.88888888888889
TTC37	Q4: 0.6-0.8	1	36	2.7777777777777777
TTC37	Q5: 0.8-1.0	35	36	97.22222222222221
TTLL1	Q5: 0.8-1.0	36	36	100
TUBGCP6	Q3: 0.4-0.6	1	36	2.7777777777777777
TUBGCP6	Q4: 0.6-0.8	4	36	11.11111111111111
TUBGCP6	Q5: 0.8-1.0	31	36	86.11111111111111
TYK2	Q4: 0.6-0.8	2	36	5.555555555555555
TYK2	Q5: 0.8-1.0	34	36	94.44444444444444
TYMS	Q4: 0.6-0.8	4	36	11.11111111111111
TYMS	Q5: 0.8-1.0	32	36	88.88888888888889
UGT2A1	Q4: 0.6-0.8	1	36	2.7777777777777777
UGT2A1	Q5: 0.8-1.0	35	36	97.22222222222221
UNKL	Q5: 0.8-1.0	35	35	100
USP8	Q5: 0.8-1.0	36	36	100
UVSSA	Q4: 0.6-0.8	2	36	5.555555555555555
UVSSA	Q5: 0.8-1.0	34	36	94.44444444444444
VANGL1	Q5: 0.8-1.0	36	36	100
VKORC1	Q3: 0.4-0.6	3	36	8.333333333333332
VKORC1	Q4: 0.6-0.8	14	36	38.88888888888889
VKORC1	Q5: 0.8-1.0	19	36	52.77777777777778
ZAN	Q5: 0.8-1.0	36	36	100
ZNF141	Q5: 0.8-1.0	36	36	100
ZNF419	Q5: 0.8-1.0	36	36	100
ZNF469	Q4: 0.6-0.8	1	36	2.7777777777777777
ZNF469	Q5: 0.8-1.0	35	36	97.22222222222221
